variable,	id,	level
PercentForceOffs, 1,  0.95
PercentForceOffs, 2,  0.8
PercentForceOffs, 3,	0.5
PercentForceOffs,	4,	0.2
PercentForceOffs,	5,	0.0
PercentAOG, 1,  -0.01
PercentAOG,	2,	0.2
PercentAOG,	3,	0.4
PercentAOG,	4,	0.6
PercentAOG,	5,	0.8
PlatoonRatio, 1,  -0.01
PlatoonRatio,	2,	0.5
PlatoonRatio,	3,	0.85
PlatoonRatio,	4,	1.15
PlatoonRatio,	5,	1.5
SFPerCycle,	5,	-0.01
SFPerCycle,	4,	0.05
SFPerCycle,	3,	0.3
SFPerCycle,	2,	0.5
SFPerCycle, 1,  0.95
TotalRedLightViolations,	5,	-0.01
TotalRedLightViolations,	4,	1
TotalRedLightViolations,	3,	3
TotalRedLightViolations,	2,	5
TotalRedLightViolations,  1,  10
